Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Yogurt, Greek, NS as to type of milk, plain","1 container, NFS","Yogurt, Greek",150,11411390
"Yogurt, Greek, NS as to type of milk, plain",1 cup,"Yogurt, Greek",245,11411390
"Yogurt, Greek, NS as to type of milk, plain",Quantity not specified,"Yogurt, Greek",150,11411390
"Yogurt, Greek, whole milk, plain",1 5.3 oz container,"Yogurt, Greek",150,11411400
"Yogurt, Greek, whole milk, plain",1 6 oz container,"Yogurt, Greek",170,11411400
"Yogurt, Greek, whole milk, plain","1 container, NFS","Yogurt, Greek",150,11411400
"Yogurt, Greek, whole milk, plain",1 cup,"Yogurt, Greek",245,11411400
"Yogurt, Greek, whole milk, plain",Quantity not specified,"Yogurt, Greek",150,11411400
"Yogurt, Greek, low fat milk, plain",1 5.3 oz container,"Yogurt, Greek",150,11411410
"Yogurt, Greek, low fat milk, plain",1 6 oz container,"Yogurt, Greek",170,11411410
"Yogurt, Greek, low fat milk, plain","1 container, NFS","Yogurt, Greek",150,11411410
"Yogurt, Greek, low fat milk, plain",1 cup,"Yogurt, Greek",245,11411410
"Yogurt, Greek, low fat milk, plain",Quantity not specified,"Yogurt, Greek",150,11411410
"Yogurt, Greek, nonfat milk, plain",1 5.3 oz container,"Yogurt, Greek",150,11411420
"Yogurt, Greek, nonfat milk, plain",1 6 oz container,"Yogurt, Greek",170,11411420
"Yogurt, Greek, nonfat milk, plain","1 container, NFS","Yogurt, Greek",150,11411420
"Yogurt, Greek, nonfat milk, plain",1 cup,"Yogurt, Greek",245,11411420
"Yogurt, Greek, nonfat milk, plain",Quantity not specified,"Yogurt, Greek",150,11411420
"Yogurt, NS as to type of milk, fruit",1 4 oz container,"Yogurt, regular",113,11430000
"Yogurt, NS as to type of milk, fruit",1 6 oz container,"Yogurt, regular",170,11430000
"Yogurt, NS as to type of milk, fruit","1 container, NFS","Yogurt, regular",170,11430000
"Yogurt, NS as to type of milk, fruit",1 cup,"Yogurt, regular",245,11430000
"Yogurt, NS as to type of milk, fruit",Quantity not specified,"Yogurt, regular",170,11430000
"Yogurt, whole milk, fruit",1 4 oz container,"Yogurt, regular",113,11431000
"Yogurt, whole milk, fruit",1 6 oz container,"Yogurt, regular",170,11431000
"Yogurt, whole milk, fruit","1 container, NFS","Yogurt, regular",170,11431000
"Yogurt, whole milk, fruit",1 cup,"Yogurt, regular",245,11431000
"Yogurt, whole milk, fruit",Quantity not specified,"Yogurt, regular",170,11431000
"Yogurt, low fat milk, fruit",1 4 oz container,"Yogurt, regular",113,11432000
"Yogurt, low fat milk, fruit",1 6 oz container,"Yogurt, regular",170,11432000
"Yogurt, low fat milk, fruit","1 container, NFS","Yogurt, regular",170,11432000
"Yogurt, low fat milk, fruit",1 cup,"Yogurt, regular",245,11432000
"Yogurt, low fat milk, fruit",Quantity not specified,"Yogurt, regular",170,11432000
"Yogurt, nonfat milk, fruit",1 4 oz container,"Yogurt, regular",113,11433000
"Yogurt, nonfat milk, fruit",1 6 oz container,"Yogurt, regular",170,11433000
"Yogurt, nonfat milk, fruit","1 container, NFS","Yogurt, regular",170,11433000
"Yogurt, nonfat milk, fruit",1 cup,"Yogurt, regular",245,11433000
"Yogurt, nonfat milk, fruit",Quantity not specified,"Yogurt, regular",170,11433000
"Yogurt, Greek, NS as to type of milk, fruit",1 5.3 oz container,"Yogurt, Greek",150,11433990
"Yogurt, Greek, NS as to type of milk, fruit",1 6 oz container,"Yogurt, Greek",170,11433990
"Yogurt, Greek, NS as to type of milk, fruit","1 container, NFS","Yogurt, Greek",150,11433990
"Yogurt, Greek, NS as to type of milk, fruit",1 cup,"Yogurt, Greek",245,11433990
"Yogurt, Greek, NS as to type of milk, fruit",Quantity not specified,"Yogurt, Greek",150,11433990
"Yogurt, Greek, whole milk, fruit",1 5.3 oz container,"Yogurt, Greek",150,11434000
"Yogurt, Greek, whole milk, fruit",1 6 oz container,"Yogurt, Greek",170,11434000
"Yogurt, Greek, whole milk, fruit","1 container, NFS","Yogurt, Greek",150,11434000
"Yogurt, Greek, whole milk, fruit",1 cup,"Yogurt, Greek",245,11434000
"Yogurt, Greek, whole milk, fruit",Quantity not specified,"Yogurt, Greek",150,11434000
"Yogurt, Greek, low fat milk, fruit",1 5.3 oz container,"Yogurt, Greek",150,11434010
"Yogurt, Greek, low fat milk, fruit",1 6 oz container,"Yogurt, Greek",170,11434010
"Yogurt, Greek, low fat milk, fruit","1 container, NFS","Yogurt, Greek",150,11434010
"Yogurt, Greek, low fat milk, fruit",1 cup,"Yogurt, Greek",245,11434010
