Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
"Frozen yogurt, vanilla",1 large ice cream cup,Ice cream and frozen dairy desserts,480,11460000
"Frozen yogurt, vanilla",Quantity not specified,Ice cream and frozen dairy desserts,175,11460000
"Frozen yogurt, chocolate",1 cup,Ice cream and frozen dairy desserts,175,11460100
"Frozen yogurt, chocolate",1 scoop,Ice cream and frozen dairy desserts,160,11460100
"Frozen yogurt, chocolate",1 small ice cream cup,Ice cream and frozen dairy desserts,160,11460100
"Frozen yogurt, chocolate",1 medium ice cream cup,Ice cream and frozen dairy desserts,320,11460100
"Frozen yogurt, chocolate",1 large ice cream cup,Ice cream and frozen dairy desserts,480,11460100
"Frozen yogurt, chocolate",Quantity not specified,Ice cream and frozen dairy desserts,175,11460100
"Frozen yogurt, soft serve, vanilla",1 cup,Ice cream and frozen dairy desserts,175,11460500
"Frozen yogurt, soft serve, vanilla",Quantity not specified,Ice cream and frozen dairy desserts,175,11460500
"Frozen yogurt, soft serve, chocolate",1 cup,Ice cream and frozen dairy desserts,175,11460510
"Frozen yogurt, soft serve, chocolate",Quantity not specified,Ice cream and frozen dairy desserts,175,11460510
Frozen yogurt sandwich,1 sandwich,Ice cream and frozen dairy desserts,75,11461200
Frozen yogurt sandwich,Quantity not specified,Ice cream and frozen dairy desserts,75,11461200
"Frozen yogurt bar, vanilla",1 bar,Ice cream and frozen dairy desserts,65,11461210
"Frozen yogurt bar, vanilla",Quantity not specified,Ice cream and frozen dairy desserts,65,11461210
"Frozen yogurt bar, chocolate",1 bar,Ice cream and frozen dairy desserts,65,11461220
"Frozen yogurt bar, chocolate",Quantity not specified,Ice cream and frozen dairy desserts,65,11461220
"Frozen yogurt cone, chocolate",1 cone,Ice cream and frozen dairy desserts,125,11461250
"Frozen yogurt cone, chocolate",Quantity not specified,Ice cream and frozen dairy desserts,125,11461250
"Frozen yogurt cone, vanilla",1 cone,Ice cream and frozen dairy desserts,125,11461260
"Frozen yogurt cone, vanilla",Quantity not specified,Ice cream and frozen dairy desserts,125,11461260
"Frozen yogurt cone, vanilla, waffle cone",1 cone,Ice cream and frozen dairy desserts,255,11461300
"Frozen yogurt cone, vanilla, waffle cone",Quantity not specified,Ice cream and frozen dairy desserts,255,11461300
"Frozen yogurt cone, chocolate, waffle cone",1 cone,Ice cream and frozen dairy desserts,255,11461320
"Frozen yogurt cone, chocolate, waffle cone",Quantity not specified,Ice cream and frozen dairy desserts,255,11461320
"Baby Toddler food, NFS",1 tablespoon,Baby food: mixtures,15,11480000
"Baby Toddler food, NFS",1 jar,Baby food: mixtures,110,11480000
"Baby Toddler food, NFS",1 tub,Baby food: mixtures,110,11480000
"Baby Toddler food, NFS",1 pouch,Baby food: mixtures,110,11480000
"Baby Toddler food, NFS",Quantity not specified,Baby food: mixtures,110,11480000
"Baby Toddler yogurt, plain",1 tablespoon,Baby food: yogurt,15,11480010
"Baby Toddler yogurt, plain",1 container,Baby food: yogurt,110,11480010
"Baby Toddler yogurt, plain",1 pouch,Baby food: yogurt,110,11480010
"Baby Toddler yogurt, plain",Quantity not specified,Baby food: yogurt,110,11480010
"Baby Toddler yogurt, with fruit",1 tablespoon,Baby food: yogurt,15,11480100
"Baby Toddler yogurt, with fruit",1 container,Baby food: yogurt,110,11480100
"Baby Toddler yogurt, with fruit",1 pouch,Baby food: yogurt,110,11480100
"Baby Toddler yogurt, with fruit",Quantity not specified,Baby food: yogurt,110,11480100
"Chocolate milk, NFS",1 cup,"Flavored milk, lowfat",248,11511000
"Chocolate milk, NFS",1 fl oz,"Flavored milk, lowfat",31,11511000
"Chocolate milk, NFS",1 individual school container,"Flavored milk, lowfat",248,11511000
"Chocolate milk, NFS",Quantity not specified,"Flavored milk, lowfat",248,11511000
"Chocolate milk, whole",1 cup,"Flavored milk, whole",248,11511100
"Chocolate milk, whole",1 fl oz,"Flavored milk, whole",31,11511100
"Chocolate milk, whole",1 individual school container,"Flavored milk, whole",248,11511100
"Chocolate milk, whole",Quantity not specified,"Flavored milk, whole",248,11511100
"Chocolate milk, reduced fat (2%)",1 cup,"Flavored milk, reduced fat",248,11511200
"Chocolate milk, reduced fat (2%)",1 fl oz,"Flavored milk, reduced fat",31,11511200
"Chocolate milk, reduced fat (2%)",1 individual school container,"Flavored milk, reduced fat",248,11511200
"Chocolate milk, reduced fat (2%)",Quantity not specified,"Flavored milk, reduced fat",248,11511200
"Chocolate milk, fat free (skim)",1 cup,"Flavored milk, nonfat",248,11511300
"Chocolate milk, fat free (skim)",1 fl oz,"Flavored milk, nonfat",31,11511300
"Chocolate milk, fat free (skim)",1 individual school container,"Flavored milk, nonfat",248,11511300
"Chocolate milk, fat free (skim)",Quantity not specified,"Flavored milk, nonfat",248,11511300
"Chocolate milk, low fat (1%)",1 fl oz,"Flavored milk, lowfat",31,11511400
"Chocolate milk, low fat (1%)",1 cup,"Flavored milk, lowfat",248,11511400
"Chocolate milk, low fat (1%)",1 individual school container,"Flavored milk, lowfat",248,11511400
"Chocolate milk, low fat (1%)",Quantity not specified,"Flavored milk, lowfat",248,11511400
"Chocolate milk, reduced sugar, NFS",1 cup,"Flavored milk, lowfat",248,11511550
"Chocolate milk, reduced sugar, NFS",1 fl oz,"Flavored milk, lowfat",31,11511550
"Chocolate milk, reduced sugar, NFS",1 individual school container,"Flavored milk, lowfat",248,11511550
"Chocolate milk, reduced sugar, NFS",Quantity not specified,"Flavored milk, lowfat",248,11511550
"Hot chocolate / cocoa, NFS",1 cup,"Flavored milk, lowfat",248,11512005
"Hot chocolate / cocoa, NFS",1 fl oz,"Flavored milk, lowfat",31,11512005
"Hot chocolate / cocoa, NFS",Quantity not specified,"Flavored milk, lowfat",248,11512005
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",1 cup,"Flavored milk, reduced fat",248,11512010
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",1 fl oz,"Flavored milk, reduced fat",31,11512010
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",Quantity not specified,"Flavored milk, reduced fat",248,11512010
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",1 cup,"Flavored milk, nonfat",248,11512020
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",1 fl oz,"Flavored milk, nonfat",31,11512020
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",Quantity not specified,"Flavored milk, nonfat",248,11512020
"Hot chocolate / cocoa, made with non-dairy milk",1 cup,Plant-based milk,248,11512030
"Hot chocolate / cocoa, made with non-dairy milk",1 fl oz,Plant-based milk,31,11512030
"Hot chocolate / cocoa, made with non-dairy milk",Quantity not specified,Plant-based milk,248,11512030
"Hot chocolate / cocoa, with whipped cream",1 cup,"Flavored milk, reduced fat",248,11512100
"Hot chocolate / cocoa, with whipped cream",1 fl oz,"Flavored milk, reduced fat",31,11512100
"Hot chocolate / cocoa, with whipped cream",Quantity not specified,"Flavored milk, reduced fat",248,11512100
"Chocolate milk, Nesquik, NS as to type of milk",1 cup,"Flavored milk, reduced fat",248,11513380
"Chocolate milk, Nesquik, NS as to type of milk",1 fl oz,"Flavored milk, reduced fat",31,11513380
"Chocolate milk, Nesquik, NS as to type of milk",Quantity not specified,"Flavored milk, reduced fat",248,11513380
"Chocolate milk, Nesquik, made with non-dairy milk",1 cup,Plant-based milk,248,11513385
"Chocolate milk, Nesquik, made with non-dairy milk",1 fl oz,Plant-based milk,31,11513385
"Chocolate milk, Nesquik, made with non-dairy milk",Quantity not specified,Plant-based milk,248,11513385
"Chocolate milk, reduced sugar, whole",1 cup,"Flavored milk, whole",248,11513801
"Chocolate milk, reduced sugar, whole",1 fl oz,"Flavored milk, whole",31,11513801
"Chocolate milk, reduced sugar, whole",Quantity not specified,"Flavored milk, whole",248,11513801
"Chocolate milk, reduced sugar, reduced fat (2%)",1 cup,"Flavored milk, reduced fat",248,11513802
"Chocolate milk, reduced sugar, reduced fat (2%)",1 fl oz,"Flavored milk, reduced fat",31,11513802
"Chocolate milk, reduced sugar, reduced fat (2%)",Quantity not specified,"Flavored milk, reduced fat",248,11513802
"Chocolate milk, reduced sugar, low fat (1%)",1 cup,"Flavored milk, lowfat",248,11513803
"Chocolate milk, reduced sugar, low fat (1%)",1 fl oz,"Flavored milk, lowfat",31,11513803
"Chocolate milk, reduced sugar, low fat (1%)",Quantity not specified,"Flavored milk, lowfat",248,11513803
"Chocolate milk, reduced sugar, fat free (skim)",1 cup,"Flavored milk, nonfat",248,11513804
"Chocolate milk, reduced sugar, fat free (skim)",1 fl oz,"Flavored milk, nonfat",31,11513804
"Chocolate milk, reduced sugar, fat free (skim)",Quantity not specified,"Flavored milk, nonfat",248,11513804
"Hot chocolate / cocoa, dry mix, made with water",1 cup,"Flavored milk, nonfat",248,11514100
"Hot chocolate / cocoa, dry mix, made with water",1 fl oz,"Flavored milk, nonfat",31,11514100
"Hot chocolate / cocoa, dry mix, made with water","1 packet, reconstituted","Flavored milk, nonfat",248,11514100
"Hot chocolate / cocoa, dry mix, made with water",Quantity not specified,"Flavored milk, nonfat",248,11514100
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",1 cup,"Flavored milk, reduced fat",248,11514110
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",1 fl oz,"Flavored milk, reduced fat",31,11514110
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk","1 packet, reconstituted","Flavored milk, reduced fat",248,11514110
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",Quantity not specified,"Flavored milk, reduced fat",248,11514110
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",1 cup,"Flavored milk, nonfat",248,11514130
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",1 fl oz,"Flavored milk, nonfat",31,11514130
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk","1 packet, reconstituted","Flavored milk, nonfat",248,11514130
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",Quantity not specified,"Flavored milk, nonfat",248,11514130
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",1 cup,Plant-based milk,248,11514150
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",1 fl oz,Plant-based milk,31,11514150
"Hot chocolate / cocoa, dry mix , made with non-dairy milk","1 packet, reconstituted",Plant-based milk,248,11514150
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",Quantity not specified,Plant-based milk,248,11514150
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",1 cup,"Flavored milk, reduced fat",248,11514160
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",1 fl oz,"Flavored milk, reduced fat",31,11514160
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream","1 packet, reconstituted","Flavored milk, reduced fat",248,11514160
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",Quantity not specified,"Flavored milk, reduced fat",248,11514160
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",1 cup,"Flavored milk, nonfat",248,11514310
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",1 fl oz,"Flavored milk, nonfat",31,11514310
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water","1 packet, reconstituted","Flavored milk, nonfat",248,11514310
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",Quantity not specified,"Flavored milk, nonfat",248,11514310
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",1 cup,"Flavored milk, reduced fat",248,11514320
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",1 fl oz,"Flavored milk, reduced fat",31,11514320
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk","1 packet, reconstituted","Flavored milk, reduced fat",248,11514320
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",Quantity not specified,"Flavored milk, reduced fat",248,11514320
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",1 cup,Plant-based milk,248,11514325
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",1 fl oz,Plant-based milk,31,11514325
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",Quantity not specified,Plant-based milk,248,11514325
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",1 cup,"Flavored milk, reduced fat",248,11514330
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",1 fl oz,"Flavored milk, reduced fat",31,11514330
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk","1 packet, reconstituted","Flavored milk, reduced fat",248,11514330
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",Quantity not specified,"Flavored milk, reduced fat",248,11514330
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",1 cup,"Flavored milk, nonfat",248,11514340
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",1 fl oz,"Flavored milk, nonfat",31,11514340
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk","1 packet, reconstituted","Flavored milk, nonfat",248,11514340
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",Quantity not specified,"Flavored milk, nonfat",248,11514340
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",1 cup,"Flavored milk, nonfat",248,11514350
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",1 fl oz,"Flavored milk, nonfat",31,11514350
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk","1 packet, reconstituted","Flavored milk, nonfat",248,11514350
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",Quantity not specified,"Flavored milk, nonfat",248,11514350
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",1 cup,Plant-based milk,248,11514360
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",1 fl oz,Plant-based milk,31,11514360
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk","1 packet, reconstituted",Plant-based milk,248,11514360
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",Quantity not specified,Plant-based milk,248,11514360
"Strawberry milk, NFS",1 fl oz,"Flavored milk, reduced fat",31,11519040
"Strawberry milk, NFS",1 cup,"Flavored milk, reduced fat",248,11519040
"Strawberry milk, NFS",1 individual school container,"Flavored milk, reduced fat",248,11519040
"Strawberry milk, NFS",Quantity not specified,"Flavored milk, reduced fat",248,11519040
"Strawberry milk, whole",1 cup,"Flavored milk, whole",248,11519050
"Strawberry milk, whole",1 fl oz,"Flavored milk, whole",31,11519050
"Strawberry milk, whole",1 individual school container,"Flavored milk, whole",248,11519050
"Strawberry milk, whole",Quantity not specified,"Flavored milk, whole",248,11519050
"Strawberry milk, reduced fat (2%)",1 cup,"Flavored milk, reduced fat",248,11519105
"Strawberry milk, reduced fat (2%)",1 fl oz,"Flavored milk, reduced fat",31,11519105
"Strawberry milk, reduced fat (2%)",1 individual school container,"Flavored milk, reduced fat",248,11519105
"Strawberry milk, reduced fat (2%)",Quantity not specified,"Flavored milk, reduced fat",248,11519105
"Strawberry milk, low fat (1%)",1 cup,"Flavored milk, lowfat",248,11519200
"Strawberry milk, low fat (1%)",1 fl oz,"Flavored milk, lowfat",31,11519200
"Strawberry milk, low fat (1%)",1 individual school container,"Flavored milk, lowfat",248,11519200
"Strawberry milk, low fat (1%)",Quantity not specified,"Flavored milk, lowfat",248,11519200
"Strawberry milk, fat free  (skim)",1 fl oz,"Flavored milk, nonfat",31,11519205
"Strawberry milk, fat free  (skim)",1 cup,"Flavored milk, nonfat",248,11519205
"Strawberry milk, fat free  (skim)",1 individual school container,"Flavored milk, nonfat",248,11519205
"Strawberry milk, fat free  (skim)",Quantity not specified,"Flavored milk, nonfat",248,11519205
"Strawberry milk, reduced sugar",1 cup,"Flavored milk, lowfat",248,11519210
"Strawberry milk, reduced sugar",1 fl oz,"Flavored milk, lowfat",31,11519210
"Strawberry milk, reduced sugar",1 individual school container,"Flavored milk, lowfat",248,11519210
"Strawberry milk, reduced sugar",Quantity not specified,"Flavored milk, lowfat",248,11519210
"Milk, malted",1 cup,"Flavored milk, reduced fat",256,11526000
"Milk, malted",1 fl oz,"Flavored milk, reduced fat",32,11526000
"Milk, malted",Quantity not specified,"Flavored milk, reduced fat",256,11526000
Eggnog,1 cup,Milk shakes and other dairy drinks,256,11531000
Eggnog,1 fl oz,Milk shakes and other dairy drinks,32,11531000
Eggnog,Quantity not specified,Milk shakes and other dairy drinks,256,11531000
"Milk shake, home recipe, chocolate",1 fl oz,Milk shakes and other dairy drinks,28,11541110
"Milk shake, home recipe, chocolate",1 milkshake (10 fl oz),Milk shakes and other dairy drinks,280,11541110
"Milk shake, home recipe, chocolate",1 cup,Milk shakes and other dairy drinks,224,11541110
"Milk shake, home recipe, chocolate",Quantity not specified,Milk shakes and other dairy drinks,280,11541110
"Milk shake, home recipe, flavors other than chocolate",1 fl oz,Milk shakes and other dairy drinks,28,11541120
"Milk shake, home recipe, flavors other than chocolate",1 milkshake (10 fl oz),Milk shakes and other dairy drinks,280,11541120
"Milk shake, home recipe, flavors other than chocolate",1 cup,Milk shakes and other dairy drinks,224,11541120
"Milk shake, home recipe, flavors other than chocolate",Quantity not specified,Milk shakes and other dairy drinks,280,11541120
"Milk shake, home recipe, chocolate, light",1 fl oz,Milk shakes and other dairy drinks,28,11541130
"Milk shake, home recipe, chocolate, light",1 cup,Milk shakes and other dairy drinks,224,11541130
"Milk shake, home recipe, chocolate, light",Quantity not specified,Milk shakes and other dairy drinks,280,11541130
"Milk shake, home recipe, flavors other than chocolate, light",1 fl oz,Milk shakes and other dairy drinks,28,11541135
"Milk shake, home recipe, flavors other than chocolate, light",1 cup,Milk shakes and other dairy drinks,224,11541135
"Milk shake, home recipe, flavors other than chocolate, light",Quantity not specified,Milk shakes and other dairy drinks,280,11541135
Milk shake with malt,1 fl oz,Milk shakes and other dairy drinks,28,11541400
